2022-11-08 19:00:01,062 INFO    StreamThr :3788 [internal.py:wandb_internal():88] W&B internal server running at pid: 3788, started at: 2022-11-08 19:00:01.046846
2022-11-08 19:00:01,062 DEBUG   HandlerThread:3788 [handler.py:handle_request():139] handle_request: status
2022-11-08 19:00:01,062 DEBUG   SenderThread:3788 [sender.py:send_request():317] send_request: status
2022-11-08 19:00:01,078 DEBUG   SenderThread:3788 [sender.py:send():303] send: header
2022-11-08 19:00:01,078 INFO    WriterThread:3788 [datastore.py:open_for_write():75] open: C:\Users\wwwle\Documents\Materias_Universidad\Redes Neuronales\Proyecto-2_RNA\Red Neuronal\wandb\run-20221108_190000-1w7yd7df\run-1w7yd7df.wandb
2022-11-08 19:00:01,213 DEBUG   SenderThread:3788 [sender.py:send():303] send: run
2022-11-08 19:00:01,721 DEBUG   HandlerThread:3788 [handler.py:handle_request():139] handle_request: check_version
2022-11-08 19:00:01,737 INFO    SenderThread:3788 [dir_watcher.py:__init__():216] watching files in: C:\Users\wwwle\Documents\Materias_Universidad\Redes Neuronales\Proyecto-2_RNA\Red Neuronal\wandb\run-20221108_190000-1w7yd7df\files
2022-11-08 19:00:01,737 INFO    SenderThread:3788 [sender.py:_start_run_threads():928] run started: 1w7yd7df with start time 1667955601.046846
2022-11-08 19:00:01,737 DEBUG   SenderThread:3788 [sender.py:send():303] send: summary
2022-11-08 19:00:01,737 INFO    SenderThread:3788 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2022-11-08 19:00:01,737 DEBUG   SenderThread:3788 [sender.py:send_request():317] send_request: check_version
2022-11-08 19:00:02,165 DEBUG   HandlerThread:3788 [handler.py:handle_request():139] handle_request: run_start
2022-11-08 19:00:02,212 DEBUG   HandlerThread:3788 [system_info.py:__init__():31] System info init
2022-11-08 19:00:02,212 DEBUG   HandlerThread:3788 [system_info.py:__init__():46] System info init done
2022-11-08 19:00:02,212 INFO    HandlerThread:3788 [system_monitor.py:start():150] Starting system monitor
2022-11-08 19:00:02,212 INFO    SystemMonitor:3788 [system_monitor.py:_start():116] Starting system asset monitoring threads
2022-11-08 19:00:02,212 INFO    HandlerThread:3788 [system_monitor.py:probe():168] Collecting system info
2022-11-08 19:00:02,227 INFO    SystemMonitor:3788 [interfaces.py:start():168] Started cpu
2022-11-08 19:00:02,227 DEBUG   HandlerThread:3788 [system_info.py:probe():195] Probing system
2022-11-08 19:00:02,227 INFO    SystemMonitor:3788 [interfaces.py:start():168] Started disk
2022-11-08 19:00:02,227 INFO    SystemMonitor:3788 [interfaces.py:start():168] Started memory
2022-11-08 19:00:02,227 INFO    SystemMonitor:3788 [interfaces.py:start():168] Started network
2022-11-08 19:00:02,258 DEBUG   HandlerThread:3788 [system_info.py:_probe_git():180] Probing git
2022-11-08 19:00:02,555 DEBUG   HandlerThread:3788 [system_info.py:_probe_git():188] Probing git done
2022-11-08 19:00:02,555 DEBUG   HandlerThread:3788 [system_info.py:probe():241] Probing system done
2022-11-08 19:00:02,555 DEBUG   HandlerThread:3788 [system_monitor.py:probe():177] {'os': 'Windows-10-10.0.19045-SP0', 'python': '3.9.13', 'heartbeatAt': '2022-11-09T01:00:02.227742', 'startedAt': '2022-11-09T01:00:00.999973', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'C:\\Users\\wwwle\\Documents\\Materias_Universidad\\Redes Neuronales\\Proyecto-2_RNA\\Red Neuronal\\Red neuronal para reconocimiento facial - mod.py', 'codePath': 'Red Neuronal\\Red neuronal para reconocimiento facial - mod.py', 'git': {'remote': 'https://github.com/UrielCasco01/Proyecto-2_RNA.git', 'commit': 'dc6e3dcdb526ff09ce78b468d724c301c855010f'}, 'email': None, 'root': 'C:/Users/wwwle/Documents/Materias_Universidad/Redes Neuronales/Proyecto-2_RNA', 'host': 'DESKTOP-FR5VQNJ', 'username': 'wwwle', 'executable': 'C:\\Users\\wwwle\\Documents\\Materias_Universidad\\Redes Neuronales\\env\\Keras[3.9]\\Scripts\\python.exe', 'cpu_count': 4, 'cpu_count_logical': 8, 'cpu_freq': {'current': 1200.0, 'min': 0.0, 'max': 2401.0}, 'cpu_freq_per_core': [{'current': 1200.0, 'min': 0.0, 'max': 2401.0}], 'disk': {'total': 941.1406211853027, 'used': 172.03559494018555}, 'memory': {'total': 11.886932373046875}}
2022-11-08 19:00:02,555 INFO    HandlerThread:3788 [system_monitor.py:probe():178] Finished collecting system info
2022-11-08 19:00:02,555 INFO    HandlerThread:3788 [system_monitor.py:probe():181] Publishing system info
2022-11-08 19:00:02,555 DEBUG   HandlerThread:3788 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2022-11-08 19:00:02,555 DEBUG   HandlerThread:3788 [system_info.py:_save_pip():67] Saving pip packages done
2022-11-08 19:00:02,555 INFO    HandlerThread:3788 [system_monitor.py:probe():183] Finished publishing system info
2022-11-08 19:00:02,747 INFO    Thread-17 :3788 [dir_watcher.py:_on_file_created():275] file/dir created: C:\Users\wwwle\Documents\Materias_Universidad\Redes Neuronales\Proyecto-2_RNA\Red Neuronal\wandb\run-20221108_190000-1w7yd7df\files\requirements.txt
2022-11-08 19:00:02,747 INFO    Thread-17 :3788 [dir_watcher.py:_on_file_created():275] file/dir created: C:\Users\wwwle\Documents\Materias_Universidad\Redes Neuronales\Proyecto-2_RNA\Red Neuronal\wandb\run-20221108_190000-1w7yd7df\files\wandb-summary.json
2022-11-08 19:00:02,747 INFO    Thread-17 :3788 [dir_watcher.py:_on_file_created():275] file/dir created: C:\Users\wwwle\Documents\Materias_Universidad\Redes Neuronales\Proyecto-2_RNA\Red Neuronal\wandb\run-20221108_190000-1w7yd7df\files\wandb-metadata.json
2022-11-08 19:00:02,794 DEBUG   SenderThread:3788 [sender.py:send():303] send: files
2022-11-08 19:00:02,794 INFO    SenderThread:3788 [sender.py:_save_file():1171] saving file wandb-metadata.json with policy now
2022-11-08 19:00:02,825 DEBUG   HandlerThread:3788 [handler.py:handle_request():139] handle_request: stop_status
2022-11-08 19:00:02,825 DEBUG   SenderThread:3788 [sender.py:send_request():317] send_request: stop_status
2022-11-08 19:00:03,060 DEBUG   SenderThread:3788 [sender.py:send():303] send: telemetry
2022-11-08 19:00:03,060 DEBUG   SenderThread:3788 [sender.py:send():303] send: telemetry
2022-11-08 19:00:03,060 DEBUG   SenderThread:3788 [sender.py:send():303] send: config
2022-11-08 19:00:03,060 DEBUG   SenderThread:3788 [sender.py:send():303] send: config
2022-11-08 19:00:03,060 DEBUG   SenderThread:3788 [sender.py:send():303] send: config
2022-11-08 19:00:03,060 DEBUG   SenderThread:3788 [sender.py:send():303] send: config
2022-11-08 19:00:03,060 DEBUG   SenderThread:3788 [sender.py:send():303] send: config
2022-11-08 19:00:03,169 DEBUG   SenderThread:3788 [sender.py:send():303] send: telemetry
2022-11-08 19:00:03,169 DEBUG   SenderThread:3788 [sender.py:send():303] send: telemetry
2022-11-08 19:00:03,169 DEBUG   SenderThread:3788 [sender.py:send():303] send: files
2022-11-08 19:00:03,169 INFO    SenderThread:3788 [sender.py:_save_file():1171] saving file model-best.h5 with policy live
2022-11-08 19:00:03,169 DEBUG   SenderThread:3788 [sender.py:send():303] send: telemetry
2022-11-08 19:00:03,185 DEBUG   HandlerThread:3788 [handler.py:handle_request():139] handle_request: get_summary
2022-11-08 19:00:03,615 INFO    Thread-22 :3788 [upload_job.py:push():143] Uploaded file C:\Users\wwwle\AppData\Local\Temp\tmpfhb3b8snwandb\2nhi4pod-wandb-metadata.json
2022-11-08 19:00:03,755 INFO    Thread-17 :3788 [dir_watcher.py:_on_file_created():275] file/dir created: C:\Users\wwwle\Documents\Materias_Universidad\Redes Neuronales\Proyecto-2_RNA\Red Neuronal\wandb\run-20221108_190000-1w7yd7df\files\output.log
